Country_Code,Country_Name,Region,Sub_Region,Intermediate_Region,Confirmed,Recovered,Deaths,ConfirmedPerPpopulation,RecoveryRate,DeathRate,"School enrollment, tertiary (% gross)","School enrollment, secondary (% net)","Literacy rate, adult total (% of people ages 15 and above)","Literacy rate, adult female (% of females ages 15 and above)","Literacy rate, adult male (% of males ages 15 and above)","Literacy rate, youth male (% of males ages 15-24)","Literacy rate, youth female (% of females ages 15-24)","Labor force, female (% of total labor force)","Labor force, total",Population ages 15-64 (% of total population),"Government expenditure on education, total (% of GDP)","Cause of death, by communicable diseases and maternal, prenatal and nutrition conditions (% of total)","Cause of death, by injury (% of total)","Cause of death, by non-communicable diseases (% of total)","Death rate, crude (per 1,000 people)",Diabetes prevalence (% of population ages 20 to 79),"Immunization, DPT (% of children ages 12-23 months)","Immunization, HepB3 (% of one-year-old children)","Immunization, measles (% of children ages 12-23 months)","Life expectancy at birth, total (years)",Prevalence of anemia among children (% of children under 5),Prevalence of undernourishment (% of population),Risk of impoverishing expenditure for surgical care (% of people at risk),Net ODA Received (2014-2018),Net ODA Received (2018),Inflation (2015-2019),Inflation (2019),GDP (2015-2019),GDP (2019),Unemployment (2015-2019),Unemployment (2019),Happiness Score (2019),GDP per capita (2019),Social support (2019),Healthy life expectancy (2019),Freedom to make life choices (2019),Generosity (2019),Perceptions of corruption (2019),"Nurse and Midwives(per1,000People)","Physician(per1,000People)",OECD_Nurse(1000HAB),OECD_Doctor(1000HAB),Health Expenditure (% of GDP),Hospital_Bed_ACUTE(1000HAB),Hospital_Bed_ICU(1000HAB),Hospital_Bed_OTHER(1000HAB),HOSPITAL_BED_PSYCHIATRIC(1000HAB),HOSPITAL_BED_TOTAL(1000HAB),Health Care Index _2000,HealthCare_Rank_2000,Covid19_test_conducted_people tested,Covid19_test_conducted_samples tested,Covid19_test_conducted_tests performed,Covid19_test_conducted_units unclear
AFG,Afghanistan,Asia,Southern Asia,,49681,38613,2047,0.131,77.722,4.12,9.686420441,50.1407,43.01971817,29.80521011,55.47544861,74.08480072,56.2547493,50.25306367,10699797,54.9119344,4.058869839,36.4,19.5,44.1,6.423,9.2,66,66,64,64.486,46.4,29.9,0,118.8558296,101.9275409,2.325331192,2.302372515,541.6549667,502.1154869,11.2118,11.11800003,3.203,0.35,0.517,0.361,0,0.158,0.025,0.1755,0.2782,NA,NA,11.77719384,NA,NA,NA,NA,NA,0.325,173,NA,NA,NA,NA
AGO,Angola,Africa,Sub-Saharan Africa,Middle Africa,16626,9518,386,0.052,57.248,2.322,9.336259842,0,0,0,0,0,0,41.4753376,13164276,51.17863322,0,63.4,9.2,27.4,8.19,4.5,57,53,51,60.782,50.9,18.6,7.1,8.437832453,5.175307649,15.97468408,17.14531994,3606.420667,2973.59116,7.105800056,6.886000156,NA,NA,NA,NA,NA,NA,NA,0.4075,0.2146,NA,NA,2.791500278,NA,NA,NA,NA,NA,0.275,181,NA,NA,NA,NA
ALB,Albania,Europe,Southern Europe,,52542,27831,1074,1.841,52.969,2.044,59.7784996,86.60827,98.14115143,97.76112366,98.51361847,99.05000305,99.62999725,0,1313923,68.39780528,3.611720085,2.9,4,93.1,7.898,9,99,99,95,78.458,24.9,3.6,0.8,90.26020102,119.6249252,1.719483492,1.41109079,4649.023068,5352.857411,14.14420013,12.33100033,4.719,0.947,0.848,0.874,0.383,0.178,0.027,3.6495,1.2164,NA,NA,NA,NA,NA,NA,NA,NA,0.774,55,NA,NA,NA,NA
AND,Andorra,Europe,Southern Europe,,7560,6963,80,9.8,92.103,1.058,0,0,0,0,0,0,0,20.717721,0,0,3.151619911,0,0,0,4.4,7.7,99,98,99,0,12.8,0,0,NA,NA,NA,NA,38975.90305,40886.39116,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10.32055244,NA,NA,NA,NA,NA,0.982,4,NA,NA,NA,NA
ARE,United Arab Emirates,Asia,Western Asia,,192404,168129,634,1.969,87.383,0.33,0,92.79992,93.22714233,95.09761047,92.55615997,99.63999939,99.11000061,42.96271082,6840917,84.13083877,0,6.5,16.8,76.8,1.47,16.3,99,98,99,77.814,27.2,3.1,0,NA,NA,1.758366479,-1.931081148,40878.5428,43103.32306,2.117200041,2.34800005,6.825,1.503,1.31,0.825,0.598,0.262,0.182,5.7271,2.5278,NA,NA,3.334282339,NA,NA,NA,NA,NA,0.886,27,NA,NA,173451.703,NA
ARG,Argentina,Americas,Latin America and the Caribbean,South America,1537169,1362617,41763,3.421,88.645,2.717,89.95851898,90.79605,99.0038681,99.06204224,98.93773651,99.24182892,99.75765228,46.16731809,20772672,64.16136585,5.462230206,15.9,6.5,77.6,7.609,5.9,86,86,94,76.52,22.2,3.8,3.9,0.466992857,1.595477973,43.91276403,53.54830435,12572.25297,10006.14897,8.616600037,9.788999557,6.086,1.092,1.432,0.881,0.471,0.066,0.05,2.5996,3.9901,NA,NA,9.124314785,NA,NA,NA,NA,NA,0.722,75,6349.945,NA,7168.918,NA
ARM,Armenia,Asia,Western Asia,,153173,131931,2616,5.179,86.132,1.708,51.48752975,0,99.73606873,99.67716217,99.80549622,99.82128143,99.87416077,0,1303565,67.75038027,2.707590103,2.8,3.9,93.3,9.857,6.1,92,92,95,74.945,31.5,2.6,6,91.17926595,47.12078299,1.452263466,1.443446608,3991.370202,4622.733493,17.61380005,16.98999977,4.559,0.85,1.055,0.815,0.283,0.095,0.064,6.107,4.4023,NA,NA,10.36270484,NA,NA,NA,NA,NA,0.63,104,NA,NA,NA,NA
ATG,Antigua and Barbuda,Americas,Latin America and the Caribbean,Caribbean,152,141,5,0.157,92.763,3.289,0,88.78981,98.94999695,99.41999817,98.40000153,0,0,46.53362262,0,68.99030046,0,11.9,6.3,81.8,6.366,13.1,95,99,93,76.885,32.3,0,0,64.46716278,174.272487,1.029800372,NA,15876.88318,17790.30931,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.5171,2.956,NA,NA,4.533531889,NA,NA,NA,NA,NA,0.688,86,NA,NA,NA,NA
AUS,Australia,Oceania,Australia and New Zealand,,28168,25704,908,0.111,91.252,3.224,107.8080521,92.28431,0,0,0,0,0,46.40601549,13414956,64.80335154,5.124249935,4.6,5.9,89.5,6.3,5.6,95,95,95,82.74878049,13.9,2.5,0.1,NA,NA,1.651234779,1.610767873,54619.26916,54907.10191,5.584200001,5.268000126,7.228,1.372,1.548,1.036,0.557,0.332,0.29,12.5508,3.6778,11.92,3.75,9.205947816,NA,NA,NA,0.42,3.84,0.876,32,NA,NA,36208.413,NA
AUT,Austria,Europe,Western Europe,,337209,300611,5209,3.799,89.147,1.545,86.68834686,87.00131,0,0,0,0,0,48.75397231,4613292,66.56253608,5.358039856,2.6,5.2,92.2,9.5,6.6,85,85,94,81.69268293,12.6,2.5,0,NA,NA,1.479740735,1.530895534,47753.45061,50277.27509,5.351599979,4.673999786,7.246,1.376,1.475,1.016,0.532,0.244,0.226,7.0899,5.1697,6.87,5.24,10.39661691,5.45,NA,NA,0.61,7.37,0.959,9,NA,NA,32048.732,NA
AZE,Azerbaijan,Asia,Western Asia,,199127,135462,2175,1.987,68.028,1.092,31.54019928,88.53256,99.79122925,99.72199249,99.86374664,99.96064758,99.91310883,51.85834027,5103137,70.11169103,2.455430031,8.8,4.6,86.6,5.8,6.1,94,94,98,72.864,23.9,2.5,0,11.81313359,8.447880864,6.854154866,2.608339565,4612.313512,4793.58702,5.073799992,5.508999825,5.208,1.043,1.147,0.769,0.351,0.035,0.182,NA,NA,NA,NA,6.651829183,NA,NA,NA,NA,NA,0.626,109,NA,NA,NA,NA
BDI,Burundi,Africa,Sub-Saharan Africa,Eastern Africa,761,687,2,0.007,90.276,0.263,4.057660103,27.52277,68.37532806,61.22369003,76.29605103,91.03414917,85.61855316,46.20090775,4983237,52.28725702,5.078649998,55.8,12.1,32.1,7.929,5.1,93,93,92,61.247,47.3,0,99,47.94944868,40.25188111,4.730688716,-0.686772171,282.7480102,261.2474725,1.488400006,1.427000046,3.775,0.046,0.447,0.38,0.22,0.176,0.18,0.8526,0.1001,NA,NA,7.517570257,NA,NA,NA,NA,NA,0.494,143,NA,NA,NA,NA
BEL,Belgium,Europe,Western Europe,,623760,0,18545,5.432,NA,2.973,78.90116882,94.94691,0,0,0,0,0,49.19318149,5101824,63.93523089,6.412280083,7.9,6.4,85.7,10.7,4.6,98,97,96,81.59512195,12.6,2.5,0,NA,NA,1.630247446,1.43681957,44177.33488,46116.69923,6.987000084,5.589000225,6.923,1.356,1.504,0.986,0.473,0.16,0.21,19.4614,3.0709,11.22,3.13,10.33866927,4.98,NA,NA,1.36,5.64,0.915,21,NA,NA,51764.396,NA
BEN,Benin,Africa,Sub-Saharan Africa,Western Africa,3152,2972,44,0.027,94.289,1.396,12.51698971,46.58049,42.36240005,31.07164955,53.97703171,69.76117706,51.94361877,44.61854529,4833491,54.52959631,2.933969975,54.1,10.2,35.7,8.871,1,76,76,71,61.47,62.1,7.4,61,51.22078081,49.65325522,0.225454581,-0.915681573,1152.188106,1219.432672,2.43920002,2.232000113,4.883,0.393,0.437,0.397,0.349,0.175,0.082,0.3888,0.0791,NA,NA,3.718582168,NA,NA,NA,NA,NA,0.647,97,NA,NA,NA,NA
BFA,Burkina Faso,Africa,Sub-Saharan Africa,Western Africa,4954,3504,74,0.024,70.731,1.494,7.096129894,31.00148,41.22444916,32.68761826,50.07458878,61.79000092,54.66999817,30.48785221,7468213,52.91489091,5.383790016,56.3,11,32.7,8.124,7.3,91,91,88,61.174,86.2,19.2,75.9,55.37957023,56.22752642,0.274286618,-3.23338934,734.8543595,774.8396902,6.267199993,6.263999939,4.587,0.331,1.056,0.38,0.255,0.177,0.113,0.8829,0.0847,NA,NA,6.915059686,NA,NA,NA,NA,NA,0.543,132,NA,NA,NA,NA
BGD,Bangladesh,Asia,Southern Asia,,499560,435601,7242,0.306,87.197,1.45,24.01688957,66.54968,74.6844635,71.94838715,77.44149017,93.70469666,96.08776093,46.16842499,70009461,67.60528327,1.326320052,25.6,7.5,66.9,5.529,9.2,98,98,97,72.32,40.3,13,56,18.16617808,18.84168693,5.709098782,5.591996399,1553.615588,1855.739824,4.31420002,4.190000057,4.456,0.562,0.928,0.723,0.527,0.166,0.143,0.4124,0.5809,NA,NA,2.274248749,NA,0.007,NA,NA,NA,0.675,88,NA,NA,1940.144,NA
BGR,Bulgaria,Europe,Eastern Europe,,191029,98026,6551,2.738,51.315,3.429,71.52152252,89.05757,0,0,0,0,0,20.05479122,3295081,64.06165381,4.09250021,2.2,2.6,95.2,15.4,6,92,85,93,74.96341463,26.9,3,2.6,NA,NA,1.415314113,3.103729448,8418.322405,9737.601351,6.486599922,4.340000153,5.011,1.092,1.513,0.815,0.311,0.081,0.004,NA,NA,NA,NA,8.095603436,6.1682,NA,NA,NA,NA,0.639,102,NA,NA,12437.882,NA
BHR,Bahrain,Asia,Western Asia,,90062,88178,349,5.488,97.908,0.388,55.62850952,90.19346,97.46418762,94.94888306,98.76316833,99.97614288,99.3013382,47.51178813,978624,78.76249412,2.327810049,6.9,10.1,83,2.385,15.6,99,99,99,77.163,30.1,0,0,NA,NA,2.028067707,NA,23302.50507,23503.97713,0.822799993,0.713999987,6.199,1.362,1.368,0.871,0.536,0.255,0.11,NA,NA,NA,NA,4.748104885,NA,NA,NA,NA,NA,0.824,42,NA,NA,NA,129343.044
BHS,Bahamas,Americas,Latin America and the Caribbean,Caribbean,7733,6109,164,1.985,78.999,2.121,0,62.4958,0,0,0,0,0,39.22480834,226287,70.44099599,0,16.9,9.2,73.9,6.771,8.8,86,86,85,73.752,29.5,0,0,NA,NA,-4.862904403,2.491235274,31994.67977,32933.48601,10.97199993,10.35999966,NA,NA,NA,NA,NA,NA,NA,4.5669,2.0068,NA,NA,5.758889019,NA,NA,NA,NA,NA,0.657,94,NA,NA,NA,NA
BLR,Belarus,Europe,Eastern Europe,,171579,149353,1316,1.812,87.046,0.767,87.42909241,95.63948,99.75656128,99.72518158,99.79398346,99.83000183,99.87000275,38.84681314,5036882,67.7628385,4.794990063,2.5,7,90.5,12.7,5,98,97,98,74.17560976,25.4,2.5,0.5,1.480429245,12.33827326,8.374673188,5.59815595,5945.370122,6663.295293,5.35180006,4.59499979,5.323,1.067,1.465,0.789,0.235,0.094,0.142,NA,NA,NA,NA,5.92578575,NA,NA,NA,NA,NA,0.723,72,NA,NA,11002.506,NA
BLZ,Belize,Americas,Latin America and the Caribbean,Central America,9791,4779,213,2.508,48.81,2.175,24.99110031,71.149,0,0,0,0,0,0,178514,65.42821497,7.561490059,19.4,13.2,67.4,4.716,17.1,98,98,96,74.496,22.5,7.6,0,91.45868137,87.08568545,NA,NA,4836.366928,4815.163711,6.81960001,6.413000107,NA,NA,NA,NA,NA,NA,NA,2.3414,1.1229,NA,NA,5.642822757,NA,NA,NA,NA,NA,0.736,69,NA,NA,NA,NA
BOL,Bolivia,Americas,Latin America and the Caribbean,South America,149770,127815,9035,1.301,85.341,6.033,0,76.55438,92.45507813,88.58286285,96.52275085,99.39402008,99.40421295,43.5837641,5735836,62.0361067,0,22.4,13.1,64.5,6.772,6.8,75,75,79,71.239,46.9,15.5,30.1,69.55291833,64.02897037,2.923437541,1.83954505,3312.882824,3552.068762,3.458599997,3.497999907,5.779,0.776,1.209,0.706,0.511,0.137,0.064,1.5589,1.5901,NA,NA,6.443160772,NA,NA,NA,NA,NA,0.571,126,NA,NA,3613.56,NA
BRA,Brazil,Americas,Latin America and the Caribbean,South America,7213155,6388938,186356,3.418,88.573,2.584,0,81.72855,93.22750092,93.42507172,93.00904083,98.98358154,99.43153381,49.32644756,106500838,69.73919823,6.32254982,13.9,12.2,73.9,6.452,10.4,73,80,91,75.672,25.1,2.5,11.2,3.210689303,2.048796344,5.722648879,3.732976212,9033.580888,8717.186278,11.45319996,12.08300018,6.3,1.004,1.439,0.802,0.39,0.099,0.086,10.119,2.1643,NA,NA,9.467476606,NA,0.210581,NA,NA,NA,0.573,125,NA,NA,239.485,NA
BRB,Barbados,Americas,Latin America and the Caribbean,Caribbean,307,280,7,0.107,91.205,2.28,0,93.63078,0,0,0,0,0,42.84792032,155296,66.71857852,4.366380215,13,4.2,82.8,9.004,13.4,90,90,92,79.081,31.9,4.3,0,NA,NA,2.520685319,4.100289645,17342.02081,18148.24493,10.10940018,10.33100033,NA,NA,NA,NA,NA,NA,NA,3.06,2.4843,NA,NA,6.779126823,NA,NA,NA,NA,NA,0.808,46,NA,NA,NA,NA
BTN,Bhutan,Asia,Southern Asia,,443,423,0,0.058,95.485,NA,15.55451012,70.19893,66.5611496,57.08361816,75.01985168,93.27015686,92.89112091,48.69777255,380085,68.56683074,6.850840092,20.9,10.5,68.6,6.245,10.3,97,97,97,71.46,43.5,0,16.3,135.5091261,133.1797459,3.634579884,2.725821043,3053.258256,NA,2.373799992,2.342000008,5.082,0.813,1.321,0.604,0.457,0.37,0.167,1.8518,0.4242,NA,NA,3.186962381,NA,NA,NA,NA,NA,0.575,124,NA,NA,NA,NA
BWA,Botswana,Africa,Sub-Saharan Africa,Southern Africa,13014,10535,38,0.565,80.951,0.292,25.08139038,0,0,0,0,0,0,45.67326825,1080610,61.86911734,0,46,8.3,45.7,5.742,5.8,95,95,97,69.275,40.4,24.1,25.9,40.66012345,36.59068009,3.039230079,2.772864429,7635.575569,7961.33814,17.69140015,18.19300079,3.488,1.041,1.145,0.538,0.455,0.025,0.1,5.403,0.5269,NA,NA,6.134568155,NA,NA,NA,NA,NA,0.338,169,NA,NA,NA,NA
CAF,Central African Republic,Africa,Sub-Saharan Africa,Middle Africa,4936,1924,63,0.104,38.979,1.276,0,12.71989,37.39582062,25.75638008,49.51459122,47.80493164,28.70665932,47.3736372,1914794,53.26519409,0,63.7,10.3,26,12.289,6,47,47,49,52.805,71.9,0,0,121.748499,140.5072872,NA,NA,434.8751176,467.9074406,3.75340004,3.680000067,3.083,0.026,0,0.105,0.225,0.235,0.035,NA,NA,NA,NA,5.821775645,NA,NA,NA,NA,NA,0.156,189,NA,NA,NA,NA
CAN,Canada,Americas,Northern America,,505741,416901,14171,1.345,82.434,2.802,70.11302185,99.80968,0,0,0,0,0,44.99905239,20583847,66.50620337,0,5.6,6.1,88.3,7.7,7.6,91,74,90,81.94878049,9.4,2.5,0,NA,NA,1.673675947,1.949269024,44712.88921,46194.72523,6.328000069,5.56400013,7.278,1.365,1.505,1.039,0.584,0.285,0.308,9.9438,2.6102,9.95,2.8,10.57276949,1.95,NA,NA,0.34,2.5,0.881,30,33410.708,NA,NA,NA
CHE,Switzerland,Europe,Western Europe,,403989,311500,6602,4.711,77.106,1.634,61.37744904,85.32946,0,0,0,0,0,44.26579915,4978166,66.22132804,5.130189896,4.3,6.1,89.6,7.8,5.7,96,69,95,83.75365854,12.9,2.5,0,NA,NA,0.050903403,0.362916005,81503.13181,81993.72715,4.761999989,4.580999851,7.48,1.452,1.526,1.052,0.572,0.263,0.343,17.5357,4.2957,17.59,4.34,12.34632209,3.56,NA,NA,0.93,4.53,0.916,20,NA,NA,31150.652,NA
CHL,Chile,Americas,Latin America and the Caribbean,South America,583355,554333,16101,3.078,95.025,2.76,90.8963089,88.65187,96.40228271,96.33402252,96.48062897,99.00582123,99.01155853,43.71068616,9557893,68.62418701,5.41945982,8.1,7.1,84.7,6.163,8.6,96,96,95,80.042,20,3.5,5.5,7.611825714,NA,3.062024026,2.557544757,14629.67689,14896.45387,6.90539999,7.090000153,6.444,1.159,1.369,0.92,0.357,0.187,0.056,13.3248,2.5912,NA,NA,8.983509988,1.99,NA,NA,0.1,2.11,0.87,33,NA,NA,28694.997,NA
CHN,China,Asia,Eastern Asia,,94953,88666,4763,0.007,93.379,5.016,53.76491165,0,96.84088898,95.15933228,98.46653748,99.78379059,99.7833786,41.76955521,781074570,70.72329863,0,3.8,7,89.3,7.1,9.2,99,99,99,76.704,21.4,2.5,27,-0.546973069,-0.529205214,2.000837294,2.899235799,9066.534934,10261.67913,4.440200043,4.320000172,5.191,1.029,1.125,0.893,0.521,0.058,0.1,2.6621,1.9798,2.68,1.99,5.151193216,NA,0.036,NA,NA,4.34,0.485,144,NA,NA,173.692,NA
CMR,Cameroon,Africa,Sub-Saharan Africa,Middle Africa,25724,23851,445,0.099,92.719,1.73,14.26727009,45.99349,77.07103729,71.58627319,82.6280365,87.72000122,82.41000366,48.34947027,11345979,54.91421907,3.131200075,53.9,10.9,35.2,9.266,6,67,67,60,58.921,62.5,6.3,42.5,38.71220669,46.16588926,1.543499629,2.452802141,1429.868279,1497.909176,3.425800037,3.380000114,5.044,0.549,0.91,0.331,0.381,0.187,0.037,NA,NA,NA,NA,4.670666903,NA,NA,NA,NA,NA,0.357,164,NA,NA,NA,NA
COL,Colombia,Americas,Latin America and the Caribbean,South America,1496062,1362543,40268,2.972,91.075,2.692,55.32749176,77.47078,95.09250641,95.31891632,94.85182953,98.63382721,99.06960297,42.13638173,26787864,68.61338533,4.457489967,10.1,15,74.8,5.562,7.4,92,92,95,77.109,26.6,5.5,13.5,26.09183907,35.50325535,4.716479082,3.525492736,6315.184795,6432.387583,8.936199951,9.706999779,6.125,0.985,1.41,0.841,0.47,0.099,0.034,1.3309,2.1848,1.33,2.18,7.226280868,NA,NA,NA,NA,1.71,0.91,22,NA,10324.461,NA,NA
COM,Comoros,Africa,Sub-Saharan Africa,Eastern Africa,643,610,7,0.076,94.868,1.089,0,50.35748,58.81702042,52.95639038,64.64420319,78.2394104,78.30236053,44.08500055,223593,57.65872279,2.545059919,47.4,10.9,41.7,7.214,12.3,91,91,90,64.118,48.1,0,52.3,87.49904473,104.0342516,NA,NA,1329.790283,1393.522372,4.39119997,4.335999966,3.973,0.274,0.757,0.505,0.142,0.275,0.078,0.6285,0.2715,NA,NA,7.384373993,NA,NA,NA,NA,NA,0.592,118,NA,NA,NA,NA
CPV,Cabo Verde,Africa,Sub-Saharan Africa,Western Africa,11567,11215,111,2.103,96.957,0.96,23.61651039,70.42826,86.79029083,82.04222107,91.69143677,97.58500671,98.73017883,39.02957339,238022,66.89517852,5.181749821,19.5,10.1,70.3,5.625,2.4,96,97,98,72.782,55.1,18.5,17.7,267.4649915,152.9883249,0.374289609,1.107509306,3337.546481,3603.781794,12.13479996,12.2489996,NA,NA,NA,NA,NA,NA,NA,1.2983,NA,NA,NA,5.165488645,NA,NA,NA,NA,NA,0.617,113,NA,NA,NA,NA
CRI,Costa Rica,Americas,Latin America and the Caribbean,Central America,157472,125488,1996,3.12,79.689,1.268,57.67481995,82.44799,97.86379242,97.92443085,97.80235291,99.33999634,99.52999878,43.93479674,2473778,69.04092888,7.048759937,6.4,10.2,83.3,5.078,9.1,95,98,95,80.095,28.7,3.2,8.3,18.75620233,18.83610551,1.345504051,2.096202566,11826.14548,12238.37496,9.444999886,11.85400009,7.167,1.034,1.441,0.963,0.558,0.144,0.093,3.4144,2.8939,NA,NA,7.328796387,NA,NA,NA,NA,1.13,0.849,36,2897.463,NA,NA,NA
CUB,Cuba,Americas,Latin America and the Caribbean,Caribbean,10024,8976,137,0.088,89.545,1.367,41.37902069,84.18162,0,0,0,0,0,0,5098407,68.39269093,0,8.4,7.9,83.7,8.988,9.6,99,99,99,78.726,29.3,2.5,0,88.2195837,65.87236768,NA,NA,8279.459343,NA,1.88760004,1.638000011,NA,NA,NA,NA,NA,NA,NA,7.5614,8.4218,NA,NA,11.71132699,NA,NA,NA,NA,NA,0.834,39,NA,NA,9090.501,NA
CYP,Cyprus,Asia,Western Asia,,17476,2057,89,1.458,11.77,0.509,81.33708191,95.337,0,0,0,0,0,44.74390487,629536,69.24464468,5.777190208,4.1,4.7,91.1,7.022,9,96,94,86,80.828,17.5,6.8,0.3,NA,NA,-0.261707134,0.250370997,26150.60121,27858.371,10.91079998,7.274000168,6.046,1.263,1.223,1.042,0.406,0.19,0.041,5.2512,1.9509,NA,NA,6.684569269,3.3996,NA,NA,NA,NA,0.906,24,NA,NA,77552.554,NA
DEU,Germany,Europe,Western Europe,,1508518,1107115,26171,1.815,73.391,1.735,70.34264374,85.29882,0,0,0,0,0,39.79875438,43577709,64.6375192,4.905119896,4.8,4,91.2,11.5,10.4,93,87,97,80.89268293,12.4,2.5,0,NA,NA,1.13870008,1.445667015,44297.18728,46258.87829,3.783800077,3.042999983,6.985,1.373,1.454,0.987,0.495,0.261,0.265,13.2352,4.2488,13.22,4.31,11.2468347,6.02,NA,NA,1.28,8,0.902,25,NA,NA,5149.151,NA
DJI,Djibouti,Africa,Sub-Saharan Africa,Eastern Africa,5781,5649,61,0.594,97.717,1.055,0,37.8168,0,0,0,0,0,0,415214,66.1859567,3.627739906,45.2,10.4,44.4,7.102,5.1,85,85,83,66.582,42,0,0,181.9772344,184.9267946,1.185271809,3.319253727,2985.259027,3408.846254,10.40559998,10.29500008,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.316517919,NA,NA,NA,NA,NA,0.414,157,NA,NA,NA,NA
DMA,Dominica,Americas,Latin America and the Caribbean,Caribbean,88,83,0,0.123,94.318,NA,0,87.73568,0,0,0,0,0,47.37171483,0,0,5.573450089,0,0,0,0,11.6,99,99,92,0,32.5,5.8,0,230.2521728,371.6579524,0.145858312,NA,7788.769038,8300.375074,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.4385,1.1189,NA,NA,5.87688908,NA,NA,NA,NA,NA,0.854,35,NA,NA,NA,NA
DNK,Denmark,Europe,Northern Europe,,132164,90105,1019,2.271,68.177,0.771,81.18334961,90.92146,0,0,0,0,0,40.32131673,3026441,63.63378215,7.816080093,6.5,3.8,89.7,9.5,8.3,97,0,96,80.95365854,12.7,2.5,0,NA,NA,0.684181473,0.758131573,57254.54004,59822.09296,5.596000099,4.913000107,7.6,1.383,1.573,0.996,0.592,0.252,0.41,10.3195,4.0099,10.1,4.19,10.10827944,2.42,NA,NA,0.47,2.5,0.862,34,NA,NA,111050.633,NA
DOM,Dominican Republic,Americas,Latin America and the Caribbean,Caribbean,159064,123284,2382,1.481,77.506,1.498,59.91558838,70.60614,93.77845764,93.76412964,93.79360199,98.81259155,98.86737061,17.62688592,4993453,64.99291644,0,15.8,12,72.3,6.15,8.6,89,87,96,73.892,28,5.5,7.9,15.98179467,8.146104789,2.221101479,1.81060377,7628.89656,8282.116222,6.460799885,5.84499979,5.425,1.015,1.401,0.779,0.497,0.113,0.101,1.3802,1.56,NA,NA,6.136395037,NA,NA,NA,NA,NA,0.789,51,NA,5088.824,NA,NA
DZA,Algeria,Africa,Northern Africa,,94781,62869,2659,0.22,66.331,2.805,51.36566925,0,81.40783691,75.32296753,87.42295837,97.59406281,97.25215912,43.23804074,12303926,62.89684351,0,14.8,9.5,75.7,4.716,6.7,91,91,80,76.693,30,2.8,5.2,3.422309445,3.409551317,4.599003227,1.951768211,4046.334287,3948.343279,11.39800014,11.70400047,5.211,1.002,1.16,0.785,0.086,0.073,0.114,1.5477,1.7193,NA,NA,6.374321878,NA,NA,NA,NA,NA,0.701,81,NA,NA,NA,NA
ECU,Ecuador,Americas,Latin America and the Caribbean,South America,205920,177951,13948,1.185,86.418,6.774,44.89223099,84.67039,92.82978821,92.08669281,93.77906036,99.1098175,99.40242004,23.61102403,8545537,64.92083246,4.998700142,15.1,12.8,72.2,5.109,5.5,85,85,83,76.8,27.7,8.8,14.2,16.01072072,23.19724398,1.230831145,0.266012515,6175.569094,6183.823825,3.909399986,3.967999935,6.028,0.912,1.312,0.868,0.498,0.126,0.087,2.5059,2.0368,NA,NA,8.257429302,NA,NA,NA,NA,NA,0.619,111,3438.642,NA,NA,NA
EGY,Egypt,Africa,Northern Africa,,124891,106481,7069,0.124,85.259,5.66,35.16452026,82.77635,71.16825104,65.50569153,76.49521637,89.48338318,86.81054688,46.11062591,30828413,60.88883686,0,10.2,5.8,84.1,5.817,17.2,95,95,95,71.825,31.7,4.7,12.3,22.709245,20.96793955,17.02304268,NA,3026.732977,3020.03135,11.90960007,10.76000023,4.166,0.913,1.039,0.644,0.241,0.076,0.067,1.9262,0.4521,NA,NA,5.287636817,NA,NA,NA,NA,NA,0.752,63,NA,NA,NA,NA
ERI,Eritrea,Africa,Sub-Saharan Africa,Eastern Africa,754,580,0,NA,NA,NA,3.362560034,41.57501,76.57051849,68.94618988,84.37323761,93.81867981,92.7140274,46.25943395,0,0,0,42.9,11.9,45.2,7.163,5.1,95,95,99,65.941,56.6,0,0,NA,NA,NA,NA,NA,NA,5.212799931,5.144000053,NA,NA,NA,NA,NA,NA,NA,1.4397,0.0628,NA,NA,2.870023437,NA,NA,NA,NA,NA,0.399,158,NA,NA,NA,NA
ESP,Spain,Europe,Southern Europe,,1797236,150376,48926,3.818,8.367,2.722,91.11257172,96.87779,98.43650055,97.97377777,98.92539215,99.68849945,99.74389648,48.12057936,23120097,65.77530508,4.20773983,5.1,3.5,91.4,9.1,6.9,96,96,98,83.43170732,13.1,2.5,0.2,NA,NA,0.725510826,0.699536242,28071.82928,29613.67114,17.62600002,13.95899963,6.354,1.286,1.484,1.062,0.362,0.153,0.079,5.7295,3.8723,5.87,4.02,8.873129636,2.43,NA,NA,0.36,2.97,0.972,7,NA,NA,5252.27,NA
EST,Estonia,Europe,Northern Europe,,21219,13488,170,1.6,63.566,0.801,70.36543274,94.36474,0,0,0,0,0,46.5174461,704366,63.54492294,4.973380089,2.8,4.5,92.7,11.9,4.2,91,91,88,78.24390244,26,2.5,4.5,NA,NA,1.757436119,2.277259312,20613.21509,23659.87229,5.838000011,5.114999771,5.893,1.237,1.528,0.874,0.495,0.103,0.161,11.1558,4.4833,6.29,3.48,6.429357827,3.45,NA,NA,0.53,4.69,0.714,77,NA,NA,36790.667,NA
