Country_Code,Country_Name,Region,Sub_Region,Intermediate_Region,Confirmed,Recovered,Deaths,ConfirmedPerPpopulation,RecoveryRate,DeathRate,"School enrollment, tertiary (% gross)","School enrollment, secondary (% net)","Literacy rate, adult total (% of people ages 15 and above)","Literacy rate, adult female (% of females ages 15 and above)","Literacy rate, adult male (% of males ages 15 and above)","Literacy rate, youth male (% of males ages 15-24)","Literacy rate, youth female (% of females ages 15-24)","Labor force, female (% of total labor force)","Labor force, total",Population ages 15-64 (% of total population),"Government expenditure on education, total (% of GDP)","Cause of death, by communicable diseases and maternal, prenatal and nutrition conditions (% of total)","Cause of death, by injury (% of total)","Cause of death, by non-communicable diseases (% of total)","Death rate, crude (per 1,000 people)",Diabetes prevalence (% of population ages 20 to 79),"Immunization, DPT (% of children ages 12-23 months)","Immunization, HepB3 (% of one-year-old children)","Immunization, measles (% of children ages 12-23 months)","Life expectancy at birth, total (years)",Prevalence of anemia among children (% of children under 5),Prevalence of undernourishment (% of population),Risk of impoverishing expenditure for surgical care (% of people at risk),Net ODA Received (2014-2018),Net ODA Received (2018),Inflation (2015-2019),Inflation (2019),GDP (2015-2019),GDP (2019),Unemployment (2015-2019),Unemployment (2019),Happiness Score (2019),GDP per capita (2019),Social support (2019),Healthy life expectancy (2019),Freedom to make life choices (2019),Generosity (2019),Perceptions of corruption (2019),"Nurse and Midwives(per1,000People)","Physician(per1,000People)",OECD_Nurse(1000HAB),OECD_Doctor(1000HAB),Health Expenditure (% of GDP),Hospital_Bed_ACUTE(1000HAB),Hospital_Bed_ICU(1000HAB),Hospital_Bed_OTHER(1000HAB),HOSPITAL_BED_PSYCHIATRIC(1000HAB),HOSPITAL_BED_TOTAL(1000HAB),Health Care Index _2000,HealthCare_Rank_2000,Covid19_test_conducted_people tested,Covid19_test_conducted_samples tested,Covid19_test_conducted_tests performed,Covid19_test_conducted_units unclear
MNE,Montenegro,Europe,Southern Europe,,43709,33788,624,7.026,77.302,1.428,54.17481995,89.07485,98.84718323,98.27134705,99.45046997,99.23000336,98.97000122,45.80810292,277234,66.46061145,0,1.4,3.5,95,10.682,9,86,72,42,76.77,26.9,2.5,0.5,179.6258114,248.8480833,1.567189755,NA,7807.261871,8832.036836,16.27919998,14.88300037,5.523,1.051,1.361,0.871,0.197,0.142,0.08,5.2294,2.7557,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
MNG,Mongolia,Asia,Eastern Asia,,961,509,0,0.03,52.966,NA,65.59544373,0,98.42311859,98.64888763,98.18601227,98.19000244,99.08000183,0,1331891,65.01238541,4.088590145,9.7,10.6,79.7,6.316,4.7,98,98,98,69.689,30.3,21.3,0,128.6632493,104.6398252,4.979437486,7.304815975,3935.673937,4295.235025,6.144000149,6.011000156,5.285,0.948,1.531,0.667,0.317,0.235,0.038,3.8938,2.8592,NA,NA,4.002301022,NA,0.088,NA,NA,NA,0.483,145,NA,NA,NA,NA
MOZ,Mozambique,Africa,Sub-Saharan Africa,Eastern Africa,17477,15451,147,0.058,88.408,0.841,7.312550068,19.27829,60.65542984,50.29513931,72.59944916,77.26016998,65.48976898,31.56325381,13193108,52.75355334,5.499849796,65.3,7.8,26.9,8.544,3.3,88,88,87,60.163,60.2,32.6,70.4,65.44783754,61.696243,8.554889919,2.781106312,494.1925107,491.8047231,3.319000006,3.240999937,4.466,0.204,0.986,0.39,0.494,0.197,0.138,0.6847,0.0838,NA,NA,4.94119823,NA,NA,NA,NA,NA,0.26,184,NA,NA,NA,695.069
MRT,Mauritania,Africa,Sub-Saharan Africa,Western Africa,12278,8545,273,0.271,69.596,2.223,5.763249874,30.97658,53.49758911,43.35438919,63.74855042,70.9363327,56.7607193,39.45012568,1248249,56.95484186,1.89546001,53.4,9.4,37.2,7.222,7.1,81,81,78,64.704,67.9,11.9,47,78.20604427,101.5552116,2.469550375,2.300092621,1583.567385,1677.919253,9.607800102,9.548000336,4.49,0.57,1.167,0.489,0.066,0.106,0.088,0.9252,0.1865,NA,NA,4.403151572,NA,NA,NA,NA,NA,0.384,162,NA,NA,983.397,NA
MUS,Mauritius,Africa,Sub-Saharan Africa,Eastern Africa,524,489,10,0.041,93.321,1.908,40.59603882,84.30832,91.32539368,89.36637878,93.35735321,98.7379837,99.35341644,48.75130427,610685,70.74156394,4.719349861,6.5,4.8,88.7,8.5,22,96,97,99,74.41634146,39.1,5.3,1.7,38.58202308,52.7146438,1.910586178,0.40565519,10367.74844,11203.54058,6.861399937,6.673999786,5.888,1.12,1.402,0.798,0.498,0.215,0.06,3.5152,2.5331,NA,NA,5.718720704,NA,NA,NA,NA,NA,0.691,84,NA,NA,NA,NA
MWI,Malawi,Africa,Sub-Saharan Africa,Eastern Africa,6153,5662,187,0.033,92.02,3.039,0,34.23885,62.14353943,55.20410919,69.75396729,72.49172211,73.38580322,38.3776623,8079230,53.88928735,4.714839935,59.7,8.6,31.7,6.597,4.5,95,95,92,63.798,59.2,18.8,100,69.58569525,70.05169511,15.38257377,9.370836056,369.1806521,411.5523404,5.724600029,5.652999878,3.41,0.191,0.56,0.495,0.443,0.218,0.089,0.4386,0.0358,NA,NA,9.648231417,NA,NA,NA,NA,NA,0.251,185,NA,320.978,NA,NA
MYS,Malaysia,Asia,South-eastern Asia,,91969,76242,433,0.288,82.9,0.471,43.06161118,72.21113,94.85440826,93.50482941,96.12304688,96.69582367,97.0185318,46.17945064,15673198,69.38424954,4.163189888,17.5,8.9,73.6,5.09,16.7,98,97,97,75.997,30.8,3,7.9,-0.637958688,-1.207792923,1.922751716,0.662891866,10563.05754,11414.83766,3.324799967,3.323999882,5.339,1.221,1.171,0.828,0.508,0.26,0.024,3.4676,NA,NA,NA,3.859398142,NA,0.034,NA,NA,NA,0.802,49,8891.154,NA,NA,NA
NAM,Namibia,Africa,Sub-Saharan Africa,Southern Africa,18437,15849,171,0.739,85.963,0.927,22.88816071,0,91.52726746,91.43643188,91.62741852,94.10936737,96.19844055,45.71422482,937006,59.48603545,0,49.3,9.8,40.9,8.057,4.5,87,87,80,63.373,47.1,14.7,25.1,74.43395011,61.28038083,4.856476548,3.722394144,5029.73313,4957.458006,21.19160004,20.27300072,4.639,0.879,1.313,0.477,0.401,0.07,0.056,1.954,0.4182,NA,NA,8.550956845,NA,NA,NA,NA,NA,0.34,168,NA,5441.68,NA,NA
NER,Niger,Africa,Sub-Saharan Africa,Western Africa,2612,1406,86,0.011,53.828,3.292,4.228240013,20.06691,35.04999924,26.64999962,43.59405899,51.06999969,35.56000137,44.94144545,8423258,47.56111943,3.547209978,62.7,10.4,27,8.268,2.4,81,81,79,62.024,77.3,0,93.4,49.3803101,53.30493776,0.87039661,-2.489792651,524.2148408,554.6009687,0.49059999,0.474999994,4.628,0.138,0.774,0.366,0.318,0.188,0.102,0.2695,0.0433,NA,NA,7.739962637,NA,NA,NA,NA,NA,0.337,170,NA,NA,NA,NA
NGA,Nigeria,Africa,Sub-Saharan Africa,Western Africa,77933,67784,1218,0.039,86.977,1.563,0,0,62.01601028,52.65647888,71.25570679,81.5806427,68.26262665,38.58086574,59873566,53.56938646,0,62.7,8.3,29,11.86,3.1,57,57,54,54.332,68.3,12.6,51.5,15.07229373,16.85526178,12.93995885,11.39679497,2227.515597,2229.858696,7.2197999,8.095999718,5.265,0.696,1.111,0.245,0.426,0.215,0.041,1.1792,0.3806,NA,NA,3.755538538,NA,NA,NA,NA,NA,0.176,187,NA,274.79,NA,NA
NIC,Nicaragua,Americas,Latin America and the Caribbean,Central America,5938,4225,163,0.091,71.152,2.745,0,0,82.61454773,82.77935028,82.43855286,89.6428299,93.60193634,46.23585316,3048887,64.68715463,4.357679844,10.9,12.7,76.4,5.061,11.4,98,98,99,74.275,29.2,17.2,28.8,70.97030129,54.43497093,4.338950399,5.376289908,2050.006145,1912.903745,4.787399912,6.836999893,6.105,0.694,1.325,0.835,0.435,0.2,0.127,1.5334,0.9775,NA,NA,8.645465225,NA,NA,NA,NA,NA,0.733,71,NA,NA,NA,NA
NLD,Netherlands,Europe,Western Europe,,687250,8517,10546,3.965,1.239,1.535,87.09784698,93.16439,0,0,0,0,0,46.99346454,9275661,64.51118404,5.17509985,5.2,5.2,89.6,8.9,5.4,94,92,94,81.81219512,12.5,2.5,0,NA,NA,1.327114116,2.633699102,49070.84696,52447.83144,4.948600101,3.196000099,7.488,1.396,1.522,0.999,0.557,0.322,0.298,11.1839,3.6054,NA,NA,10.10083482,2.9214,NA,NA,0.91,3.32,0.928,17,3451.41,NA,NA,NA
NOR,Norway,Europe,Northern Europe,,43582,17998,404,0.815,41.297,0.927,83.01725769,95.60786,0,0,0,0,0,55.73111254,2818011,65.31435954,7.911980152,7.3,5.6,87,7.7,5.3,97,96,97,82.75853659,12.1,2.5,0,NA,NA,2.505759726,2.167730033,75493.11057,75419.63487,4.056599998,3.345999956,7.554,1.488,1.582,1.028,0.603,0.271,0.341,18.2248,2.9164,17.97,4.93,10.44634208,3.2,NA,NA,1.07,3.6,0.955,11,38632.464,NA,NA,NA
NPL,Nepal,Asia,Southern Asia,,253184,242567,1777,0.885,95.807,0.702,13.32682991,61.87253,67.90843201,59.72443008,78.59133911,94.03427887,90.88346863,0,16885875,64.64705679,5.102069855,25,8.8,66.2,6.361,7.2,93,93,92,70.478,42.7,6.1,72.7,42.96186054,51.64969536,5.98323945,5.568685478,918.169432,1071.050761,1.4148,1.406999946,4.913,0.446,1.226,0.677,0.439,0.285,0.089,3.1084,0.7486,NA,NA,5.553295091,NA,0.028,NA,NA,NA,0.457,150,NA,NA,5494.46,NA
NZL,New Zealand,Oceania,Australia and New Zealand,,2116,2036,25,0.043,96.219,1.181,82.98303223,96.86035,0,0,0,0,0,44.24593822,2764798,64.43943975,6.283669949,4.6,6,89.5,6.86,6.2,92,92,92,81.85853659,13,2.5,0,NA,NA,1.201532305,1.619631902,41321.06377,42084.35337,4.706799889,4.068999767,7.307,1.303,1.557,1.026,0.585,0.33,0.38,12.4482,3.5898,10.34,3.35,9.170055389,2.59,NA,NA,0.3,2.61,0.827,41,NA,NA,31752.906,NA
OMN,Oman,Asia,Western Asia,,127019,119009,1483,2.553,93.694,1.168,40.44564056,96.19256,95.6515274,92.69399261,96.98941803,98.35662842,98.97943115,37.89075011,2793208,75.13301545,0,10.5,17.7,71.9,2.436,10.1,99,99,99,77.633,38.4,7.8,0,NA,NA,0.757351191,0.133795057,15533.4982,15474.03248,3.092000008,2.671000004,NA,NA,NA,NA,NA,NA,NA,4.1965,2.0031,NA,NA,3.849071637,NA,0.146,NA,NA,NA,0.961,8,NA,NA,NA,NA
PAK,Pakistan,Asia,Southern Asia,,457288,407405,9330,0.211,89.092,2.04,8.9584198,37.40039,59.13204956,46.46767044,71.11599731,81.26351929,67.53713226,40.35252444,73943766,60.62321438,2.89951992,34.9,7.3,57.8,6.942,19.9,75,75,75,67.114,58.8,12.3,29.9,13.94370309,6.417924218,5.207248015,10.5783618,1391.424619,1284.702041,3.967200041,4.453000069,5.653,0.677,0.886,0.535,0.313,0.22,0.098,0.6683,0.9801,NA,NA,2.898633666,NA,0.015,NA,NA,NA,0.583,122,NA,NA,2654.301,NA
